dir,cnt,sknt
220.0,2662,7.190533163837583
230.0,2513,6.4544243735952715
240.0,2442,6.068739521414418
210.0,2339,7.385935537881959
280.0,2198,9.173547679941542
260.0,2137,7.455210819411297
270.0,2132,8.440778210116731
250.0,2127,6.289324984728161
290.0,2116,9.15372412151979
200.0,1971,7.496660895374721
300.0,1902,9.149516574585636
310.0,1896,8.721253048208592
320.0,1792,8.322010329757648
330.0,1604,7.6917104111986
340.0,1306,7.016686690695502
30.0,1263,7.5741785595751745
360.0,1257,6.66382036685642
50.0,1219,8.049937578027466
40.0,1210,7.854380484902573
20.0,1199,7.4042009132420095
350.0,1191,6.485555383902364
190.0,1185,7.388367300206091
10.0,1137,7.133239585164352
60.0,1055,7.694931586047408
180.0,906,7.584888340868612
70.0,890,7.2329831932773105
80.0,774,7.126829268292683
170.0,742,7.378809869375907
90.0,664,7.8433420365535245
100.0,581,8.101314938564347
160.0,539,6.589473684210526
150.0,452,6.339797395079595
110.0,445,7.805326419985859
120.0,401,7.0943055913424375
130.0,379,6.526416295353278
140.0,357,6.2535773710482525
