,airport_ident,length_ft,le_ident,surface,lighted,closed
0,00A,80.0,H1,ASPH-G,1,0
1,00AK,2500.0,N,GRVL,0,0
2,00AL,2300.0,1,TURF,0,0
3,00AR,40.0,H1,GRASS,0,0
4,00AS,1450.0,1,Turf,0,0
5,00AZ,1700.0,15,GRAVEL,0,0
6,00CA,6000.0,4,ASPH,0,0
7,00CO,3900.0,16,TURF-G,0,0
8,00FA,3200.0,8,TURF,0,0
9,00FD,74.0,H1,TURF,0,0
10,00FL,4090.0,12,TURF,0,0
11,00GA,2600.0,9,TURF,0,0
12,00GE,125.0,H1,ASPH,1,0
13,00HI,1155.0,H1,ASPH-G,0,0
14,00ID,3300.0,8,TURF,0,0
15,00ID,2700.0,11,TURF,0,0
16,00IL,2500.0,18,TURF-F,0,0
17,00IN,40.0,H1,MATS,1,0
18,00IS,1600.0,E,TURF,0,0
19,00KS,2600.0,17,TURF,0,0
20,00KY,2100.0,1,TURF,0,0
21,00LA,40.0,H1,TURF,0,0
22,00LL,25.0,H1,CONC,0,0
23,00LS,2600.0,18,TURF,0,0
24,00MD,1700.0,14,TURF,0,0
25,00MI,100.0,H1,TURF,0,0
26,00MN,2949.0,6,TURF-G,1,0
27,00MO,2400.0,8,TURF,0,0
28,00MT,2000.0,E,TURF,0,0
29,00N,1900.0,18,TURF-G,1,0
30,00NC,2650.0,5,ASPH-G,0,0
31,00NJ,50.0,H1,ASPH,0,0
32,00NY,2350.0,3,TURF,1,0
33,00OH,2695.0,8,TURF-G,0,0
34,00OI,42.0,H1,CONC,0,0
35,00OK,2200.0,17,Turf/Dirt,0,0
36,00PA,80.0,H1,TURF-G,0,0
37,00PN,500.0,12,TURF,0,0
38,00PS,3100.0,8,TURF-G,0,0
39,00S,2600.0,6,TURF-P,0,0
40,00SC,2900.0,8,TURF,0,0
41,00SD,2400.0,18,Turf,0,0
42,00TA,85.0,H1,CONC-G,0,0
43,00TE,48.0,H1,TURF,0,0
44,00TN,1800.0,9,TURF,0,0
45,00TS,1200.0,1,TURF,0,0
46,00TX,50.0,H1,CONC,0,0
47,00VA,1300.0,1,TURF,0,0
48,00VI,1500.0,9,TURF,0,0
49,00W,3400.0,14,GRAVEL-F,0,0
50,00WA,1105.0,8,TURF-G,0,0
51,00WI,1000.0,9,TURF,0,0
52,00WN,1440.0,5,TURF-G,0,0
53,00WV,1800.0,5,TURF,0,0
54,00XS,1475.0,17,TURF-F,0,0
55,01A,1175.0,8,GRAVEL-F,0,0
56,01AK,40.0,H1,CONC,1,0
57,01AL,2500.0,N,TURF,1,0
58,01AR,55.0,H1,CONC,1,0
59,01AZ,210.0,H1,TURF,0,0
60,01C,2517.0,9,TURF-G,1,0
61,01CA,20.0,H1,ASPH,0,0
62,01CL,3100.0,9,ASPH-TRTD,1,0
63,01CN,60.0,H1,ASPH,0,0
64,01CO,125.0,H1,ASPH,0,0
65,01CT,70.0,H1,TURF-GRVL,0,0
66,01FA,2000.0,10,TURF,0,0
67,01FA,1500.0,18,TURF,0,0
68,01FD,110.0,H1,CONC,0,0
69,01FL,3000.0,18,TURF,1,0
70,01GA,65.0,H1,CONC,0,0
71,01GE,2560.0,10,TURF,0,0
72,01IA,2575.0,17,TURF-F,1,0
73,01ID,2894.0,14,TURF-F,0,0
74,01IL,416.0,H1,TURF,0,0
75,01IN,45.0,H1,ASPH,0,0
76,01IS,1300.0,9,TURF,0,0
77,01J,3365.0,18,TURF-P,1,0
78,01K,2460.0,17,TURF-G,1,0
79,01KS,2400.0,18,TURF,0,0
80,01KY,40.0,H1,CONC,0,0
81,01LA,2000.0,9,TURF,0,0
82,01LL,1600.0,2,TURF,0,0
83,01LS,1800.0,9,TURF,0,0
84,01MA,32.0,H1,TURF,0,0
85,01MD,3500.0,16,WATER,0,0
86,01ME,5000.0,2,WATER,0,0
87,01ME,5000.0,15,WATER,0,0
88,01MI,50.0,H1,CONC,0,0
89,01MN,10000.0,E,WATER,0,0
90,01MN,10000.0,NW,WATER,0,0
91,01MO,37.0,H1,CONC,0,0
92,01MT,5000.0,13,ASPH-G,0,0
93,01NC,3200.0,3,TURF,1,0
94,01NC,2000.0,18,ASPH-TURF,0,0
95,01NE,2750.0,10,TURF,0,0
96,01NH,600.0,17,TURF,0,0
97,01NJ,125.0,H1,ASPH,0,0
98,01NM,2700.0,2,DIRT,0,0
99,01NM,200.0,9,DIRT,0,0
100,01NV,2000.0,18,GRVL,0,0
101,01NY,100.0,H1,ASPH,0,0
102,01OI,30.0,H1,CONC-G,0,0
103,01OK,2640.0,17,ASPH,1,0
104,01OR,4800.0,7,GRVL-DIRT,0,0
105,01PA,60.0,H1,TURF,0,0
106,01PN,1700.0,6,TURF,0,0
107,01PS,1200.0,3,TURF-G,0,0
108,01SC,2580.0,18,TURF-F,1,0
109,01TA,30.0,H1,CONC,0,0
110,01TE,2433.0,4,TURF-F,0,0
111,01TN,2700.0,18,TURF,0,0
112,01TX,500.0,9,TURF,0,0
113,01TX,700.0,18,TURF,0,0
114,01U,2700.0,3,DIRT-P,0,0
115,01U,3400.0,15,DIRT-P,0,0
116,01UT,3200.0,E,DIRT-P,0,0
117,01VA,1500.0,3,TURF,0,0
118,01WA,36.0,H1,CONC,0,0
119,01WI,2300.0,1,TURF,0,0
120,01WN,40.0,H1,ASPH,1,0
121,01WT,28.0,H1,CONC-G,0,0
122,01WY,4360.0,12,DIRT-TURF-G,0,0
123,01WY,2600.0,16,DIRT-TURF-G,0,0
124,01XA,50.0,H1,CONC,1,0
125,01XS,50.0,H1,CONC,0,0
126,02AK,2200.0,15,GRVL,0,0
127,02AL,2000.0,18,TURF,0,0
128,02AR,4400.0,7,ASPH-G,0,0
129,02AZ,4500.0,17,TURF,0,0
130,02CA,55.0,H1,PSP,0,0
131,02CD,2500.0,15,CONC-TURF,0,0
132,02CL,3000.0,16,DIRT,0,0
133,02CO,2670.0,17,GRAVEL,0,0
134,02CT,50.0,H1,ASPH,0,0
135,02FA,2485.0,18,TURF,0,0
136,02FL,1800.0,12,TURF-F,0,0
137,02GA,1200.0,8,TURF,0,0
138,02GA,1500.0,13,TURF,0,0
139,02GE,3400.0,9,TURF,0,0
140,02HI,100.0,H1,CONC,0,0
141,02IA,50.0,H1,CONC,0,0
142,02ID,2000.0,NE,TURF,0,0
143,02II,1100.0,10,TURF,0,0
144,02IN,1020.0,9,TURF,0,0
145,02IS,40.0,H1,MATS,0,0
146,02KS,1650.0,11,TURF,0,0
147,02KS,1950.0,18,TURF,0,0
148,02KY,100.0,H1,CONC,0,0
149,02LA,20.0,H1,CONC,0,0
150,02LS,24.0,H1,CONC,0,0
151,02MA,50.0,H1,ASPH,0,0
152,02ME,2400.0,14,TURF,0,0
153,02MI,2000.0,9,TURF,0,0
154,02MN,1897.0,3,TURF-P,0,0
155,02MN,2500.0,12,TURF-F,0,0
156,02MN,2553.0,13,TURF-P,0,0
157,02MO,2200.0,8,TURF-G,0,0
158,02MS,2150.0,12,TURF-F,0,0
159,02MU,1900.0,N,TURF,0,0
160,02NC,100.0,H1,TURF,0,0
161,02NH,3000.0,18W,WATER,0,0
162,02NH,20.0,H1,TURF,0,0
163,02NV,2200.0,9,TURF,0,0
164,02NY,25.0,H1,TURF,0,0
165,02OH,2750.0,9,TURF,0,0
166,02OI,1500.0,E,TURF,0,0
167,02OR,2000.0,E,TURF,0,0
168,02P,100.0,H1,TURF-G,1,0
169,02PA,60.0,H1,TURF-GRVL,0,0
170,02PN,40.0,H1,ASPH,0,0
171,02PR,2000.0,6,TURF,0,0
172,02PS,500.0,1,TURF,0,0
173,02SC,3600.0,4,TURF-G,0,0
174,02T,4050.0,2,DIRT-G,0,0
175,02TA,32.0,H1,CONC,0,0
176,02TE,40.0,H1,CONC,1,0
177,02TN,1600.0,11,TURF,0,0
178,02TX,4800.0,17,TURF,0,0
179,02UT,4000.0,7,DIRT,0,0
180,02UT,4000.0,16,DIRT-P,0,0
